ID;Active (0/1);Nombre/ Descripción corta;Categories (x,y,z...); Price tax included;Tax rules ID;Precio al por mayor;On sale;Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Fabricante;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Cantidad;Minimal quantity;Visible en;Additional shipping cost;Unit for the unit price;Unit price;Descripción corta;Descripción;Tags;Meta-título;Meta palabras clave;Meta descripción;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product availability date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature (Name:Value:Position:Customized);Available online only (0 = No, 1 = Yes);Estado;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Action when out of stock;ID / Name of shop;Advanced Stock Management;Depends on stock;Warehouse
1;1;SEMI RIGID WATCH 35MM;;59,95;4;26,95;1;;;;;3P538   CU  ;;;;;;;;;;;14;1;both;6.00;;;<p>SEMI RIGID WATCH 35MM</p>   ;"<ul><li class=""bullet"">BRACELET DESIGN</li><li class=""bullet"">COMBINED DETAIL</li><li class=""bullet""></li></ul>";Watches, Woman, Bilyfer, Original, Fashion, Style;;;;SEMI-RIGID-WATCH-35MM;In Stock;;1;;;1;http://donreloj.org/img/imagenes/3P538-CU.jpg;1;;0;;1;1;0;Out of stock;1;;;
2;1;SEMI RIGID WATCH 35MM;;56,95;4;24,95;1;;;;;3P538   D;;;;;;;;;;;9;1;both;6.00;;;<p>SEMI RIGID WATCH 35MM</p>   ;"<ul><li class=""bullet"">BRACELET DESIGN</li><li class=""bullet"">METALLIC FINISHED</li><li class=""bullet""></li></ul>";Watches, Woman, Bilyfer, Original, Fashion, Style;;;;SEMI-RIGID-WATCH-35MM;In Stock;;1;;;1;http://donreloj.org/img/imagenes/3P538-D.jpg;1;;0;;1;1;0;Out of stock;1;;;
3;1;SEMI RIGID WATCH 35MM;;56,95;4;24,95;1;;;;;3P538   DO;;;;;;;;;;;57;1;both;6.00;;;<p>SEMI RIGID WATCH 35MM</p>   ;"<ul><li class=""bullet"">BRACELET DESIGN</li><li class=""bullet"">COMBINED DETAIL</li><li class=""bullet""></li></ul>";Watches, Woman, Bilyfer, Original, Fashion, Style;;;;SEMI-RIGID-WATCH-35MM;In Stock;;1;;;1;http://donreloj.org/img/imagenes/3P538-DO.jpg;1;;0;;1;1;0;Out of stock;1;;;
4;1;WOODEN CASE WATCH;;69,95;4;33,95;1;;;;;3P550   B;;;;;;;;;;;14;1;both;6.00;;;<p>WOODEN CASE WATCH</p>   ;"<ul><li class=""bullet"">WOODEN CASE</li><li class=""bullet"">WOODEN STRAP</li><li class=""bullet""></li></ul>";Watches, Woman, Bilyfer, Original, Fashion, Style;;;;WOODEN-CASE-WATCH;In Stock;;1;;;1;http://donreloj.org/img/imagenes/3P550-B.jpg;1;;0;;1;1;0;Out of stock;1;;;
5;1;NATURAL STONE EARRINGS;;44,95;4;19,95;1;;;;;CHA1703 CU PE1;;;;;;;;;;;38;1;both;6.00;;;<p>NATURAL STONE EARRINGS</p>   ;"<ul><li class=""bullet"">GOLD OR</li><li class=""bullet"">NATURAL STONE</li><li class=""bullet""></li></ul>";Jewerly, Woman, Earrings, Original, Fashion, Style;;;;NATURAL-STONE-EARRINGS;In Stock;;1;;;1;http://donreloj.org/img/imagenes/CHA1703-CU-PE1.jpg;1;;0;;1;1;0;Out of stock;1;;;
6;1;NATURAL STONE EARRINGS;;44,95;4;19,95;1;;;;;CHA1703 G  PE1;;;;;;;;;;;38;1;both;6.00;;;<p>NATURAL STONE EARRINGS</p>   ;"<ul><li class=""bullet"">GOLD OR</li><li class=""bullet"">NATURAL STONE</li><li class=""bullet""></li></ul>";Jewerly, Woman, Earrings, Original, Fashion, Style;;;;NATURAL-STONE-EARRINGS;In Stock;;1;;;1;http://donreloj.org/img/imagenes/CHA1703-G-PE1.jpg;1;;0;;1;1;0;Out of stock;1;;;
7;1;NATURAL STONE RING;;39,95;4;16,95;1;;;;;CHA1708 D  A1;;;;;;;;;;;34;1;both;6.00;;;<p>NATURAL STONE RING</p>   ;"<ul><li class=""bullet"">GOLD OR</li><li class=""bullet"">NATURAL QUARTZ</li><li class=""bullet"">STONE DETAIL</li></ul>";Jewerly, Woman, Rings, Original, Fashion, Style;;;;NATURAL-STONE-RING;In Stock;;1;;;1;http://donreloj.org/img/imagenes/CHA1708-D-A1.jpg;1;;0;;1;1;0;Out of stock;1;;;
8;1;NATURAL STONE BRACELET;;22,95;4;9,95;1;;;;;CHA1824 AZ PUL1;;;;;;;;;;;23;1;both;6.00;;;<p>NATURAL STONE BRACELET</p>   ;"<ul><li class=""bullet"">GOLD OR</li><li class=""bullet"">NATURAL STONE</li><li class=""bullet"">COMBINED SIZES</li></ul>";Jewerly, Woman, Bracelets, Original, Fashion, Style;;;;NATURAL-STONE-BRACELET;In Stock;;1;;;1;http://donreloj.org/img/imagenes/CHA1824-AZ-PUL1.jpg;1;;0;;1;1;0;Out of stock;1;;;
9;1;NATURAL STONE BRACELET;;22,95;4;9,95;1;;;;;CHA1824 V  PUL1;;;;;;;;;;;19;1;both;6.00;;;<p>NATURAL STONE BRACELET</p>   ;"<ul><li class=""bullet"">GOLD OR</li><li class=""bullet"">NATURAL STONE</li><li class=""bullet"">COMBINED SIZES</li></ul>";Jewerly, Woman, Bracelets, Original, Fashion, Style;;;;NATURAL-STONE-BRACELET;In Stock;;1;;;1;http://donreloj.org/img/imagenes/CHA1824-V-PUL1.jpg;1;;0;;1;1;0;Out of stock;1;;;
10;1;NATURAL STONE EARRINGS;;13,95;4;5,95;1;;;;;CHA1825 F  PE1;;;;;;;;;;;1;1;both;6.00;;;<p>NATURAL STONE EARRINGS</p>   ;"<ul><li class=""bullet"">GOLD OR</li><li class=""bullet"">NATURAL STONE</li><li class=""bullet""></li></ul>";Jewerly, Woman, Earrings, Original, Fashion, Style;;;;NATURAL-STONE-EARRINGS;In Stock;;1;;;1;http://donreloj.org/img/imagenes/CHA1825-F-PE1.jpg;1;;0;;1;1;0;Out of stock;1;;;
