REFERENCIA;PRECIO1 AL POR MAYOR ;PRECIO2 PVP USUARIO;STOCK;CATEGORIA;IMAGEN;NOMBRE;COLOR;MATERIAL;BULLET 1;BULLET 2;BULLET 3;META TITULO;META DESCRIPCIÓN;NOMBRE INGLÉS;COLOR INGLÉS;MATERIAL INGLÉS;BULLET1 / INGL;BULLET2 / INGL;BULLET 3 INGL;META TITULO INGLÉS;META DESCRIPCIÓN INGLÉS
1F573 BLO;14,95;34,95;64;Relojes, Hombre;1F573 BLO.jpg;RELOJ BISEL CRISTAL COLOR;VERDE;ALUMINIO;CAJA  ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;reloj de moda bilyfer original;Descripción corta contenido original;COLOURED BEZEL WATCH;GREEN;ALUMINUM;;;5 ATM WATER RESIST;Fashion watch bilyfer original;Short description with original content 
1F573 CU ;14,95;34,95;165;Relojes, Hombre;1F573 CU.jpg;RELOJ BISEL CRISTAL COLOR;VERDE;ALUMINIO;CAJA  ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;reloj de moda bilyfer original;Descripción corta contenido original;COLOURED BEZEL WATCH;GREEN;ALUMINUM;;;5 ATM WATER RESIST;Fashion watch bilyfer original;Short description with original content 
1F573 DO ;14,95;34,95;122;Relojes, Hombre;1F573 DO.jpg;RELOJ BISEL CRISTAL COLOR;VERDE;ALUMINIO;CAJA  ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;reloj de moda bilyfer original;Descripción corta contenido original;COLOURED BEZEL WATCH;GREEN;ALUMINUM;;;5 ATM WATER RESIST;Fashion watch bilyfer original;Short description with original content 
1F573 NBL;14,95;34,95;107;Relojes, Hombre;1F573 NBL.jpg;RELOJ BISEL CRISTAL COLOR;VERDE;ALUMINIO;CAJA  ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;reloj de moda bilyfer original;Descripción corta contenido original;COLOURED BEZEL WATCH;GREEN;ALUMINUM;;;5 ATM WATER RESIST;Fashion watch bilyfer original;Short description with original content 
1F573 NN ;14,95;34,95;113;Relojes, Hombre;1F573 NN.jpg;RELOJ BISEL CRISTAL COLOR;VERDE;ALUMINIO;CAJA  ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;reloj de moda bilyfer original;Descripción corta contenido original;COLOURED BEZEL WATCH;GREEN;ALUMINUM;;;5 ATM WATER RESIST;Fashion watch bilyfer original;Short description with original content 
1F573 PLE;14,95;34,95;66;Relojes, Unisex;1F573 PLE.jpg;RELOJ BISEL CRISTAL COLOR;VERDE;ALUMINIO;CAJA  ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;reloj de moda bilyfer original;Descripción corta contenido original;COLOURED BEZEL WATCH;GREEN;ALUMINUM;;;5 ATM WATER RESIST;Fashion watch bilyfer original;Short description with original content 
1F584 AZ ;24,95;56,95;100;Relojes, Unisex;1F584 AZ.jpg;RELOJ ALUMINIO 5 ATM W.R.;VERDE;ALUMINIO;CAJA  ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;reloj de moda bilyfer original;Descripción corta contenido original;ALUMINIUM WATCH 5 ATM W.R.;GREEN;ALUMINUM;;;5 ATM WATER RESIST;Fashion watch bilyfer original;Short description with original content 
1F584 BL;24,95;56,95;100;Relojes, Unisex;1F584 BL.jpg;RELOJ ALUMINIO 5 ATM W.R.;VERDE;ALUMINIO;CAJA  ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;reloj de moda bilyfer original;Descripción corta contenido original;ALUMINIUM WATCH 5 ATM W.R.;GREEN;ALUMINUM;;;5 ATM WATER RESIST;Fashion watch bilyfer original;Short description with original content 
1F584 NR;24,95;56,95;100;Relojes, Mujer;1F584 NR.jpg;RELOJ ALUMINIO 5 ATM W.R.;VERDE;ALUMINIO;CAJA  ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;reloj de moda bilyfer original;Descripción corta contenido original;ALUMINIUM WATCH 5 ATM W.R.;GREEN;ALUMINUM;;;5 ATM WATER RESIST;Fashion watch bilyfer original;Short description with original content 
1F584 R;24,95;56,95;100;Relojes, Mujer;1F584 R.jpg;RELOJ ALUMINIO 5 ATM W.R.;VERDE;ALUMINIO;CAJA  ACERO ;CORREA MALLA;5 ATM SUMERGIBLE;reloj de moda bilyfer original;Descripción corta contenido original;ALUMINIUM WATCH 5 ATM W.R.;GREEN;ALUMINUM;;;5 ATM WATER RESIST;Fashion watch bilyfer original;Short description with original content 
